ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice
198,runny nose with itching,Nasal Allergy,Cetirizine,"Use saline spray"
199,nose bleeding frequently,Nosebleed,Saline Spray,"Apply pressure and consult doctor"
200,pain around nose and eyes,Sinusitis,Antibiotics,"Steam inhalation helps"
201,thick yellow nasal discharge,Sinus Infection,Antibiotics,"Complete medication course"
202,nose itching and irritation,Allergic Reaction,Antihistamines,"Avoid allergens"
203,loss of smell due to cold,Common Cold,Decongestants,"Rest and fluids"
204,pain inside nose,Local Infection,Antibiotic Ointment,"Do not touch inside nose"
205,nose blockage at night,Nasal Polyps,Medical Evaluation,"Consult ENT specialist"
206,frequent nose dryness,Dry Nasal Passages,Saline Gel,"Use humidifier"
207,nasal congestion after AC,Cold Exposure,Decongestants,"Avoid cold air"
208,pressure on forehead and nose,Sinus Headache,Pain Relievers,"Steam inhalation"
209,nose swelling after injury,Nasal Injury,Pain Relievers,"Apply cold compress"
210,burning sensation in nose,Allergic Irritation,Saline Spray,"Avoid strong smells"
211,nose pain with toothache,Maxillary Sinusitis,Antibiotics,"Dental and ENT checkup"
212,constant sniffing,Nasal Allergy,Antihistamines,"Keep room dust free"
213,bad smell from nose,Sinus Infection,Antibiotics,"Consult ENT doctor"
214,nose blockage with snoring,Deviated Septum,Medical Evaluation,"Surgical correction if needed"
215,frequent sneezing after dust,Allergy Trigger,Antihistamines,"Wear mask in dusty areas"
216,crusting inside nose,Nasal Dryness,Saline Ointment,"Apply nasal moisturizer"
217,nose congestion with fever,Upper Respiratory Infection,Paracetamol,"Rest and fluids"
218,watery nose in cold weather,Cold Sensitivity,Antihistamines,"Protect nose from cold"
219,nose pain when touching,Local Inflammation,Topical Antibiotics,"Avoid pressing nose"
220,blocked nose after crying,Nasal Congestion,Saline Drops,"Clear nose gently"
221,eye redness with pain,Eye Infection,Antibiotic Eye Drops,"Avoid touching eyes"
222,blurred vision suddenly,Sudden Vision Disturbance,Medical Evaluation,"Seek medical help immediately"
223,itchy eyes with watering,Eye Allergy,Antihistamine Drops,"Avoid rubbing eyes"
224,eye strain after long screen use,Digital Eye Strain,Eye Drops,"Take frequent breaks"
225,yellow discharge from eyes,Conjunctivitis,Antibiotic Eye Drops,"Clean eyes with sterile cloth"
226,eye pain in bright light,Photophobia,Dark Glasses,"Avoid bright lights"
227,dry eyes with burning,Dry Eye Syndrome,Artificial Tears,"Blink frequently and hydrate"
228,swelling around eyes,Eye Inflammation,Cold Compress,"Consult doctor if severe"
229,double vision,Vision Disorder,Medical Evaluation,"Urgent eye check needed"
230,foreign body sensation in eye,Eye Irritation,Saline Wash,"Rinse eye gently"
231,eye twitching frequently,Eye Fatigue,Multivitamins,"Reduce screen time"
232,eye heaviness and headache,Eye Strain,Pain Relievers,"Rest eyes"
233,red patch in eye,Subconjunctival Hemorrhage,No Medicine,"Usually heals on its own"
234,night vision difficulty,Night Blindness,Vitamin A Supplements,"Improve vitamin intake"
235,eye pain with headache,Glaucoma Attack,Medical Emergency,"Go to hospital immediately"
236,white spot on cornea,Corneal Ulcer,Antibiotic Drops,"Urgent ophthalmologist visit"
237,itchy eyelids with flakes,Blepharitis,Eyelid Cleaning,"Maintain eyelid hygiene"
238,swollen eyelids in morning,Eye Allergy,Antihistamines,"Apply cold compress"
239,flashes of light in vision,Retinal Problem,Emergency Evaluation,"Immediate eye check"
240,cloudy vision in elderly,Cataract,Medical Evaluation,"Surgery if severe"
241,eye dryness after AC,Dry Eyes,Artificial Tears,"Avoid direct air flow"
242,eye pain when moving eyes,Optic Neuritis,Medical Evaluation,"Urgent consultation required"
243,watering eyes in wind,Eye Sensitivity,Protective Glasses,"Wear sunglasses"
244,sticky eyes after sleep,Eye Infection,Antibiotic Drops,"Clean eyes regularly"
245,black spots floating in vision,Eye Floaters,Medical Evaluation,"Consult ophthalmologist"
246,fast heartbeat without exercise,Palpitations,Medical Evaluation,"Avoid caffeine and stress"
247,irregular heartbeat feeling,Arrhythmia,Medical Evaluation,"Consult cardiologist"
248,pressure in chest while walking,Angina,Pain Relievers,"Rest and seek medical advice"
249,shortness of breath on climbing stairs,Heart Weakness,Medical Evaluation,"Limit exertion and consult doctor"
250,swelling in legs with breathlessness,Heart Failure,Diuretics,"Seek medical attention"
251,feeling faint suddenly,Low Blood Pressure,ORS,"Sit or lie down immediately"
252,headache with high bp reading,Hypertension,Antihypertensives,"Check BP regularly"
253,dizziness after standing up,Postural Hypotension,ORS,"Stand up slowly"
254,nosebleed with high bp,Hypertension,Medical Evaluation,"Control blood pressure"
255,chest tightness during stress,Stress Induced Angina,Medical Evaluation,"Practice relaxation techniques"
256,frequent urination with fatigue,Diabetes,Blood Sugar Control,"Monitor glucose regularly"
257,slow wound healing in feet,Diabetic Complication,Glucose Control,"Daily foot care needed"
258,tingling in feet and hands,Diabetic Neuropathy,Vitamin B Complex,"Control sugar levels"
259,blurred vision with high sugar,Diabetes,Blood Sugar Control,"Check sugar levels"
260,excessive hunger and sweating,Hypoglycemia,Glucose Intake,"Eat something sweet immediately"
261,extreme thirst and dry mouth,High Blood Sugar,Glucose Control,"Drink water and test sugar"
262,chest pain spreading to left arm,Heart Attack,Emergency Care,"Call emergency services"
263,breathlessness while lying flat,Heart Failure,Medical Evaluation,"Sleep with head elevated"
264,heavy sweating with chest discomfort,Heart Attack Warning,Emergency Care,"Go to hospital immediately"
265,frequent dizziness and headache,High Blood Pressure,Antihypertensives,"Reduce salt intake"
266,rapid breathing with high sugar,Diabetic Ketoacidosis,Emergency Care,"Immediate hospital treatment"
267,loss of consciousness in diabetic patient,Severe Hypoglycemia,Emergency Glucose,"Seek emergency help"
268,feeling tired after mild activity,Heart Weakness,Medical Evaluation,"Consult cardiologist"
269,pain in chest after heavy meal,Acid Reflux vs Heart Issue,Medical Evaluation,"Do not ignore chest pain"
270,swollen face and legs,Fluid Retention,Diuretics,"Check heart and kidney function"
271,frequent night urination,Diabetes or Prostate Issue,Medical Evaluation,"Consult doctor"
272,irritability and sweating,Low Blood Sugar,Glucose Tablets,"Check sugar immediately"
273,headache and blurred vision,Hypertensive Crisis,Emergency Care,"Immediate BP control needed"
274,weak pulse and cold sweat,Shock,Emergency Care,"Call emergency services"
275,breathlessness with chest heaviness,Cardiac Problem,Emergency Evaluation,"Go to hospital"
276,shortness of breath while resting,Breathing Difficulty,Medical Evaluation,"Seek medical attention"
277,continuous dry cough,Lung Irritation,Cough Suppressants,"Avoid smoke and dust"
278,cough with blood in sputum,Lung Infection,Emergency Evaluation,"Go to hospital immediately"
279,wheezing sound while breathing,Asthma Exacerbation,Inhaler,"Avoid triggers"
280,breathing difficulty at night,Sleep Apnea,Medical Evaluation,"Sleep on side and consult doctor"
281,chest tightness with cough,Bronchial Spasm,Inhaler,"Use inhaler as prescribed"
282,rapid breathing and anxiety,Hyperventilation,Calming Techniques,"Slow deep breathing"
283,cough with thick green mucus,Chest Infection,Antibiotics,"Complete antibiotic course"
284,breathing pain while coughing,Pleurisy,Pain Relievers,"Rest and consult doctor"
285,frequent breathlessness after mild work,Lung Weakness,Medical Evaluation,"Avoid exertion"
286,night cough in child,Childhood Asthma,Inhaler,"Consult pediatrician"
287,breathlessness with fever,Pneumonia,Antibiotics,"Seek medical treatment"
288,difficulty breathing in dusty place,Allergic Asthma,Inhaler,"Avoid allergens"
289,chest pain while breathing,Costochondritis,Pain Relievers,"Apply warm compress"
290,whistling noise in chest,Airway Narrowing,Bronchodilators,"Use inhaler"
291,breathlessness after climbing few steps,Low Lung Capacity,Medical Evaluation,"Pulmonary tests needed"
292,cough worsening at night,Post Nasal Drip,Antihistamines,"Elevate head while sleeping"
293,short breath after long sitting,Poor Lung Circulation,Deep Breathing,"Do breathing exercises"
294,feeling unable to take deep breath,Anxiety Related Breathing,Relaxation Therapy,"Practice breathing techniques"
295,persistent cough for weeks,Chronic Bronchitis,Medical Evaluation,"Avoid smoking"
296,burning chest sensation while breathing,Airway Inflammation,Anti inflammatory meds,"Consult doctor"
297,breathing difficulty after smoke exposure,Smoke Inhalation,Medical Evaluation,"Get oxygen support if needed"
298,chest congestion with rattling sound,Chest Infection,Expectorants,"Drink warm fluids"
299,short breath during sleep,Sleep Related Breathing Disorder,Medical Evaluation,"Sleep study advised"
300,breathing stops briefly during sleep,Obstructive Sleep Apnea,CPAP Therapy,"Weight management helps"
301,lower abdominal pain during periods,Menstrual Cramps,Pain Relievers,"Use hot water bag"
302,irregular periods,Hormonal Imbalance,Hormone Therapy,"Consult gynecologist"
303,heavy bleeding during periods,Menorrhagia,Iron Supplements,"Medical evaluation required"
304,missed periods,Pregnancy or Hormonal Issue,Pregnancy Test,"Consult doctor"
305,painful periods every month,Dysmenorrhea,Pain Relievers,"Regular exercise helps"
306,white vaginal discharge with itching,Vaginal Infection,Antifungal Tablets,"Maintain hygiene"
307,pelvic pain after periods,Endometriosis,Medical Evaluation,"Consult gynecologist"
308,breast pain before periods,Premenstrual Syndrome,Pain Relievers,"Wear supportive bra"
309,lumps in breast,Breast Lump,Medical Evaluation,"Breast exam needed"
310,frequent urination during pregnancy,Pregnancy Symptom,No Medicine,"Normal but consult doctor"
311,nausea and vomiting in pregnancy,Morning Sickness,Antiemetics,"Eat small frequent meals"
312,swollen feet in pregnancy,Pregnancy Edema,Leg Elevation,"Avoid standing long time"
313,lower back pain in pregnancy,Pregnancy Strain,Pain Relievers,"Use pregnancy pillow"
314,itching in private parts,Vaginal Infection,Antifungal Cream,"Keep area dry"
315,pain during intercourse,Dyspareunia,Medical Evaluation,"Consult gynecologist"
316,hot flashes and sweating,Menopause,Hormone Therapy,"Wear light clothing"
317,mood swings before periods,PMS,Multivitamins,"Regular sleep and exercise"
318,delay in periods with stress,Stress Related Amenorrhea,Stress Management,"Relaxation needed"
319,lower abdominal pain with fever,Pelvic Infection,Antibiotics,"Seek medical care"
320,breast milk leakage when not pregnant,Hormonal Disorder,Medical Evaluation,"Hormone tests required"
321,pain in lower abdomen after urination,Urinary Infection,Antibiotics,"Drink plenty of water"
322,spotting between periods,Hormonal Issue,Medical Evaluation,"Consult gynecologist"
323,itchy rash under breasts,Skin Fungal Infection,Antifungal Powder,"Keep area dry"
324,vaginal dryness,Menopause Related,Moisturizing Gel,"Consult doctor"
325,lower back pain with missed periods,Possible Pregnancy,Medical Evaluation,"Pregnancy test advised"
326,fever in child with cold,Common Viral Infection,Paracetamol,"Keep child hydrated"
327,child not eating properly,Poor Appetite,Multivitamins,"Offer small frequent meals"
328,frequent crying with ear pulling,Ear Infection,Antibiotics,"Consult pediatrician"
329,diarrhea in toddler,Stomach Infection,ORS,"Prevent dehydration"
330,child coughing at night,Childhood Asthma,Inhaler,"Avoid dust exposure"
331,skin rashes in baby,Allergic Rash,Calamine Lotion,"Keep skin clean and dry"
332,vomiting after feeding,Indigestion in Baby,Antiemetic,"Feed slowly"
333,child tired and pale,Anemia in Child,Iron Supplements,"Improve diet"
334,runny nose and sneezing in child,Common Cold,Cetirizine,"Warm fluids help"
335,high fever with chills in child,Bacterial Infection,Antibiotics,"Seek medical care"
336,itching in scalp of child,Head Lice,Anti lice Lotion,"Wash bedding in hot water"
337,red eyes with discharge in child,Conjunctivitis,Antibiotic Eye Drops,"Avoid touching eyes"
338,stomach pain in school child,Indigestion,Antacids,"Avoid junk food"
339,child wheezing while breathing,Bronchiolitis,Medical Evaluation,"Hospital care may be needed"
340,frequent urination in child,Urinary Infection,Antibiotics,"Encourage fluids"
341,delayed growth in child,Growth Delay,Nutritional Supplements,"Consult pediatrician"
342,child scratching skin a lot,Allergic Dermatitis,Antihistamines,"Identify allergens"
343,child complaining of headache,Dehydration or Infection,Paracetamol,"Give fluids and rest"
344,child fainting suddenly,Low Blood Sugar,Emergency Care,"Immediate medical attention"
345,child having seizures,Fever Seizure,Emergency Care,"Rush to hospital"
346,child not sleeping at night,Sleep Disturbance,No Medicine,"Maintain sleep routine"
347,child vomiting with fever,Gastroenteritis,ORS,"Prevent dehydration"
348,swollen glands in child neck,Infection,Antibiotics,"Consult pediatrician"
